Company,Role,Reason
SDG Group,Data scientist,"Had interview with HR, then they ghosted me. I sent follow up message weeks later but they did'nt reply"
Agro4Data,,"I made a succesful (?) technical assesment but things didn't move further. Although not a failure, we didn't match"
Throxy, AI engineer,"Again, successeful (?) technical assesment but in the end they told me they couldn't hire from Spain"
Softek, Junior data engineer, "This was completely my fault. I declined the opporntunity because I didn't know the tech stack. Shouldn't have done it"
Mioti, Junior data scientist, "Approached me via linkedin but ended up rejecting me due to lack of experience"
Ryanair, Data scientist, "I approached a QA Engineer via linkedin who forwarded me to HR department but ended up rejecting me"
GFK, Data science consultant, "Passed to the second interviewing round but failed the 'logical test'"
Rauda, Junior AI engineer, "Passed to the second interviewing round but got no reply after it"
NCC group, Data Scientist, "Had a call with hiring team but got no reply after it after follow up message"
Amazon,Business Intelligence, "A great guy (really thankful) sent me a referral link but didnt get any responses after applying."
NFQ Advisory, Data Scientist,"Although not a failure because I met Adrián Bertol who is supporting me through this journey, I did'nt get selected"
Casa de la Moneda,,"Contacted me via linkedin but process did'nt go further"
Whitebox,Junior data scientist, "I had a horrible call with HR"
Speexx,Python developer,"Had great call with HR and not so bad technical assesment, but things didn't move further"
CIC,,"After hack2progress, I had a call with HR but there was not a match between us"
